日期,菜品编号,菜品名称,时段,星期,是否售罄,真实需求,预测值,预测残差
2026-04-22,D08,水煮鸡片,午餐,周三,是,133.0,119.73603997133016,13.263960028669842
2026-04-22,D08,水煮鸡片,晚餐,周三,否,103.0,98.42372296853665,4.5762770314633485
2026-04-22,D09,糖醋里脊,午餐,周三,是,129.0,104.19241752164564,24.807582478354362
2026-04-22,D09,糖醋里脊,晚餐,周三,是,108.0,88.42118537257761,19.57881462742239
2026-04-22,D10,西红柿牛腩,午餐,周三,是,108.0,95.3230905389707,12.676909461029297
2026-04-22,D10,西红柿牛腩,晚餐,周三,否,88.0,84.62002018186922,3.379979818130778
2026-04-23,D01,宫保鸡丁,午餐,周四,否,165.0,151.62016405821953,13.37983594178047
2026-04-23,D01,宫保鸡丁,晚餐,周四,否,118.0,125.78232727569846,-7.782327275698464
2026-04-23,D02,红烧肉,午餐,周四,是,107.0,113.93870919066903,-6.93870919066903
2026-04-23,D02,红烧肉,晚餐,周四,是,91.0,90.18710652953138,0.812893470468623
2026-04-23,D03,鱼香肉丝,午餐,周四,是,147.0,143.77554531349105,3.224454686508949
2026-04-23,D03,鱼香肉丝,晚餐,周四,是,122.0,118.44181914874311,3.5581808512568927
2026-04-23,D04,麻婆豆腐,午餐,周四,否,145.0,139.3506901463236,5.649309853676414
2026-04-23,D04,麻婆豆腐,晚餐,周四,否,118.0,126.3959189252967,-8.395918925296698
2026-04-23,D05,番茄炒蛋,午餐,周四,否,163.0,151.62016405821953,11.37983594178047
2026-04-23,D05,番茄炒蛋,晚餐,周四,是,137.0,142.85808660775058,-5.858086607750579
2026-04-23,D06,青椒土豆丝,午餐,周四,否,130.0,126.32289187897423,3.6771081210257677
2026-04-23,D06,青椒土豆丝,晚餐,周四,否,109.0,108.90062153533195,0.09937846466804956
2026-04-23,D07,香菇青菜,午餐,周四,否,102.0,105.37417523491858,-3.3741752349185816
2026-04-23,D07,香菇青菜,晚餐,周四,是,85.0,86.36333773597212,-1.3633377359721237
2026-04-23,D08,水煮鸡片,午餐,周四,是,136.0,126.29124331792993,9.708756682070074
2026-04-23,D08,水煮鸡片,晚餐,周四,是,103.0,99.93811799050717,3.061882009492834
2026-04-23,D09,糖醋里脊,午餐,周四,是,122.0,111.14232363710953,10.857676362890473
2026-04-23,D09,糖醋里脊,晚餐,周四,是,102.0,89.51227328292403,12.487726717075972
2026-04-23,D10,西红柿牛腩,午餐,周四,是,99.0,98.00254334923382,0.997456650766182
2026-04-23,D10,西红柿牛腩,晚餐,周四,是,84.0,85.76990567319531,-1.7699056731953107
2026-04-24,D01,宫保鸡丁,午餐,周五,是,134.0,152.9535897539125,-18.953589753912496
2026-04-24,D01,宫保鸡丁,晚餐,周五,是,110.0,114.67645548162851,-4.676455481628508
2026-04-24,D02,红烧肉,午餐,周五,否,88.0,105.56159510995174,-17.56159510995174
2026-04-24,D02,红烧肉,晚餐,周五,是,77.0,89.30234110718418,-12.302341107184176
2026-04-24,D03,鱼香肉丝,午餐,周五,是,115.0,150.86361633082186,-35.863616330821856
2026-04-24,D03,鱼香肉丝,晚餐,周五,是,99.0,110.63966616735371,-11.63966616735371
2026-04-24,D04,麻婆豆腐,午餐,周五,否,115.0,145.47150522682753,-30.47150522682753
2026-04-24,D04,麻婆豆腐,晚餐,周五,否,102.0,107.89664950677108,-5.896649506771084
2026-04-24,D05,番茄炒蛋,午餐,周五,否,134.0,152.9535897539125,-18.953589753912496
2026-04-24,D05,番茄炒蛋,晚餐,周五,否,108.0,137.09744691534823,-29.09744691534823
2026-04-24,D06,青椒土豆丝,午餐,周五,是,110.0,123.42689453244357,-13.42689453244357
2026-04-24,D06,青椒土豆丝,晚餐,周五,否,87.0,104.33330857862603,-17.33330857862603
2026-04-24,D07,香菇青菜,午餐,周五,是,85.0,98.10376972412354,-13.103769724123538
2026-04-24,D07,香菇青菜,晚餐,周五,是,61.0,82.04420483329855,-21.04420483329855
2026-04-24,D08,水煮鸡片,午餐,周五,否,96.0,127.6470120987273,-31.647012098727302
2026-04-24,D08,水煮鸡片,晚餐,周五,否,84.0,99.61524975626367,-15.615249756263665
2026-04-24,D09,糖醋里脊,午餐,周五,是,95.0,103.50884662705559,-8.50884662705559
2026-04-24,D09,糖醋里脊,晚餐,周五,是,76.0,90.82934873373863,-14.829348733738627
2026-04-24,D10,西红柿牛腩,午餐,周五,否,75.0,95.60111056536692,-20.601110565366923
2026-04-24,D10,西红柿牛腩,晚餐,周五,否,58.0,82.04420483329855,-24.04420483329855
2026-04-27,D01,宫保鸡丁,午餐,周一,否,162.0,152.83753635116074,9.162463648839264
2026-04-27,D01,宫保鸡丁,晚餐,周一,否,132.0,138.55984143809545,-6.559841438095447
2026-04-27,D02,红烧肉,午餐,周一,否,128.0,119.50576809226116,8.494231907738836
2026-04-27,D02,红烧肉,晚餐,周一,否,96.0,95.58787771858356,0.412122281416444
2026-04-27,D03,鱼香肉丝,午餐,周一,是,157.0,149.655963441019,7.344036558981003
2026-04-27,D03,鱼香肉丝,晚餐,周一,否,130.0,124.09902098613118,5.90097901386882
2026-04-27,D04,麻婆豆腐,午餐,周一,否,142.0,145.94632492951743,-3.9463249295174307
2026-04-27,D04,麻婆豆腐,晚餐,周一,是,137.0,128.53711199093982,8.46288800906018
2026-04-27,D05,番茄炒蛋,午餐,周一,否,176.0,152.83753635116074,23.162463648839264
2026-04-27,D05,番茄炒蛋,晚餐,周一,否,145.0,143.5180606913863,1.481939308613704
2026-04-27,D06,青椒土豆丝,午餐,周一,否,132.0,139.77447209338956,-7.774472093389562
2026-04-27,D06,青椒土豆丝,晚餐,周一,否,120.0,121.89561267300752,-1.8956126730075198
2026-04-27,D07,香菇青菜,午餐,周一,否,96.0,107.40595083703546,-11.405950837035462
2026-04-27,D07,香菇青菜,晚餐,周一,否,92.0,87.60793509145722,4.392064908542778
2026-04-27,D08,水煮鸡片,午餐,周一,否,139.0,137.12745991429304,1.8725400857069587
2026-04-27,D08,水煮鸡片,晚餐,周一,是,111.0,110.98892063384017,0.011079366159833626
2026-04-27,D09,糖醋里脊,午餐,周一,否,113.0,124.76837136077796,-11.768371360777962
2026-04-27,D09,糖醋里脊,晚餐,周一,否,94.0,99.0553004255081,-5.0553004255080936
2026-04-27,D10,西红柿牛腩,午餐,周一,否,102.0,107.64975773026069,-5.6497577302606885
2026-04-27,D10,西红柿牛腩,晚餐,周一,否,84.0,88.5944495590207,-4.594449559020703
2026-04-28,D01,宫保鸡丁,午餐,周二,否,161.0,156.6590702994684,4.340929700531603
2026-04-28,D01,宫保鸡丁,晚餐,周二,是,134.0,128.44049439033276,5.559505609667241
2026-04-28,D02,红烧肉,午餐,周二,否,119.0,112.5787584890274,6.421241510972607
2026-04-28,D02,红烧肉,晚餐,周二,是,97.0,92.70054464009117,4.299455359908833
2026-04-28,D03,鱼香肉丝,午餐,周二,否,149.0,150.4788515694777,-1.4788515694777118
2026-04-28,D03,鱼香肉丝,晚餐,周二,否,123.0,124.83457436189833,-1.8345743618983334
2026-04-28,D04,麻婆豆腐,午餐,周二,否,140.0,142.20862033504878,-2.208620335048778
2026-04-28,D04,麻婆豆腐,晚餐,周二,是,128.0,126.88088901405388,1.1191109859461221
2026-04-28,D05,番茄炒蛋,午餐,周二,否,174.0,156.6590702994684,17.340929700531603
2026-04-28,D05,番茄炒蛋,晚餐,周二,是,137.0,147.6323290508535,-10.632329050853514
2026-04-28,D06,青椒土豆丝,午餐,周二,是,136.0,137.79435618248678,-1.79435618248678
2026-04-28,D06,青椒土豆丝,晚餐,周二,否,114.0,101.71654253222478,12.283457467775222
2026-04-28,D07,香菇青菜,午餐,周二,否,107.0,103.55015190411459,3.4498480958854145
2026-04-28,D07,香菇青菜,晚餐,周二,是,88.0,82.51511780995523,5.484882190044772
2026-04-28,D08,水煮鸡片,午餐,周二,否,133.0,132.9481990023955,0.051800997604487975
2026-04-28,D08,水煮鸡片,晚餐,周二,否,108.0,97.38377790421224,10.616222095787762
2026-04-28,D09,糖醋里脊,午餐,周二,否,111.0,115.03760577462354,-4.037605774623543
2026-04-28,D09,糖醋里脊,晚餐,周二,是,97.0,91.99162826870487,5.008371731295128
2026-04-28,D10,西红柿牛腩,午餐,周二,是,107.0,93.61862817460693,13.381371825393074
2026-04-28,D10,西红柿牛腩,晚餐,周二,是,92.0,84.83527387100547,7.1647261289945305
2026-04-29,D01,宫保鸡丁,午餐,周三,否,168.0,151.63493568700616,16.365064312993837
2026-04-29,D01,宫保鸡丁,晚餐,周三,否,139.0,121.12332048660568,17.876679513394322
2026-04-29,D02,红烧肉,午餐,周三,是,131.0,112.78892549726113,18.211074502738867
2026-04-29,D02,红烧肉,晚餐,周三,是,93.0,98.55854165938891,-5.558541659388908
2026-04-29,D03,鱼香肉丝,午餐,周三,是,150.0,150.13702330866403,-0.1370233086640269
2026-04-29,D03,鱼香肉丝,晚餐,周三,是,125.0,115.6880848028118,9.311915197188199
2026-04-29,D04,麻婆豆腐,午餐,周三,否,140.0,139.66953924037333,0.33046075962667487
2026-04-29,D04,麻婆豆腐,晚餐,周三,是,128.0,128.84889176299617,-0.8488917629961747
2026-04-29,D05,番茄炒蛋,午餐,周三,是,180.0,151.63493568700616,28.365064312993837
2026-04-29,D05,番茄炒蛋,晚餐,周三,是,144.0,133.67977823075188,10.320221769248121
2026-04-29,D06,青椒土豆丝,午餐,周三,是,139.0,121.41380906991832,17.586190930081685
2026-04-29,D06,青椒土豆丝,晚餐,周三,是,117.0,112.32209222712899,4.677907772871009
2026-04-29,D07,香菇青菜,午餐,周三,是,117.0,104.97540622041116,12.024593779588841
2026-04-29,D07,香菇青菜,晚餐,周三,是,88.0,84.93377698521233,3.066223014787667
2026-04-29,D08,水煮鸡片,午餐,周三,是,134.0,122.11140055406501,11.888599445934986
2026-04-29,D08,水煮鸡片,晚餐,周三,否,107.0,92.41912409569493,14.580875904305074
2026-04-29,D09,糖醋里脊,午餐,周三,是,118.0,113.22696101020618,4.773038989793818
2026-04-29,D09,糖醋里脊,晚餐,周三,否,93.0,98.55854165938891,-5.558541659388908
2026-04-29,D10,西红柿牛腩,午餐,周三,是,108.0,101.18996712010366,6.81003287989634
2026-04-29,D10,西红柿牛腩,晚餐,周三,否,86.0,80.88227547296658,5.117724527033417
2026-04-30,D01,宫保鸡丁,午餐,周四,是,114.0,149.58533857629803,-35.58533857629803
2026-04-30,D01,宫保鸡丁,晚餐,周四,是,88.0,127.3034213984132,-39.30342139841321
2026-04-30,D02,红烧肉,午餐,周四,是,80.0,109.17196465151024,-29.171964651510237
2026-04-30,D02,红烧肉,晚餐,周四,是,66.0,93.24712844687527,-27.247128446875266
2026-04-30,D03,鱼香肉丝,午餐,周四,否,91.0,149.58533857629803,-58.58533857629803
2026-04-30,D03,鱼香肉丝,晚餐,周四,否,81.0,116.93159274055405,-35.93159274055405
2026-04-30,D04,麻婆豆腐,午餐,周四,否,93.0,143.71274858843248,-50.712748588432476
2026-04-30,D04,麻婆豆腐,晚餐,周四,是,83.0,118.46805202014073,-35.46805202014073
2026-04-30,D05,番茄炒蛋,午餐,周四,是,107.0,149.58533857629803,-42.58533857629803
2026-04-30,D05,番茄炒蛋,晚餐,周四,是,99.0,146.82665667088278,-47.826656670882784
2026-04-30,D06,青椒土豆丝,午餐,周四,否,90.0,131.57665709555172,-41.576657095551724
2026-04-30,D06,青椒土豆丝,晚餐,周四,否,66.0,109.88766576804173,-43.88766576804173
2026-04-30,D07,香菇青菜,午餐,周四,是,73.0,100.81013224009631,-27.81013224009631
2026-04-30,D07,香菇青菜,晚餐,周四,否,53.0,85.04951726027419,-32.049517260274186
2026-04-30,D08,水煮鸡片,午餐,周四,否,85.0,133.97434528177578,-48.97434528177578
2026-04-30,D08,水煮鸡片,晚餐,周四,否,62.0,101.28473908510429,-39.28473908510429
2026-04-30,D09,糖醋里脊,午餐,周四,是,81.0,116.49063211579012,-35.49063211579012
2026-04-30,D09,糖醋里脊,晚餐,周四,是,61.0,98.52227085988142,-37.52227085988142
2026-04-30,D10,西红柿牛腩,午餐,周四,是,64.0,97.59979985741523,-33.599799857415235
2026-04-30,D10,西红柿牛腩,晚餐,周四,是,52.0,80.9093388617719,-28.9093388617719
2026-05-01,D01,宫保鸡丁,午餐,周五,否,93.0,128.24305667954096,-35.243056679540956
2026-05-01,D01,宫保鸡丁,晚餐,周五,否,82.0,106.25216380299534,-24.25216380299534
2026-05-01,D02,红烧肉,午餐,周五,否,74.0,86.48452232639892,-12.484522326398917
2026-05-01,D02,红烧肉,晚餐,周五,是,61.0,76.58934059087642,-15.589340590876418
2026-05-01,D03,鱼香肉丝,午餐,周五,否,92.0,112.33653411231158,-20.336534112311583
2026-05-01,D03,鱼香肉丝,晚餐,周五,是,76.0,91.4015629681133,-15.401562968113296
2026-05-01,D04,麻婆豆腐,午餐,周五,否,80.0,108.48321444020837,-28.48321444020837
2026-05-01,D04,麻婆豆腐,晚餐,周五,是,82.0,97.94481444846922,-15.944814448469216
2026-05-01,D05,番茄炒蛋,午餐,周五,是,111.0,128.22476292969756,-17.22476292969756
2026-05-01,D05,番茄炒蛋,晚餐,周五,否,86.0,107.9386397317452,-21.938639731745198
2026-05-01,D06,青椒土豆丝,午餐,周五,是,92.0,107.57058528074064,-15.570585280740644
2026-05-01,D06,青椒土豆丝,晚餐,周五,否,71.0,81.18502606080098,-10.185026060800979
2026-05-01,D07,香菇青菜,午餐,周五,否,70.0,81.39116143902764,-11.391161439027641
2026-05-01,D07,香菇青菜,晚餐,周五,是,53.0,76.58934059087642,-23.589340590876418
2026-05-01,D08,水煮鸡片,午餐,周五,否,79.0,94.09594405062828,-15.095944050628276
2026-05-01,D08,水煮鸡片,晚餐,周五,是,65.0,79.31198822088206,-14.311988220882057
2026-05-01,D09,糖醋里脊,午餐,周五,是,72.0,90.24984890127132,-18.24984890127132
2026-05-01,D09,糖醋里脊,晚餐,周五,否,59.0,76.58934059087642,-17.589340590876418
2026-05-01,D10,西红柿牛腩,午餐,周五,是,70.0,82.30271386763178,-12.30271386763178
2026-05-01,D10,西红柿牛腩,晚餐,周五,是,49.0,76.58934059087642,-27.589340590876418
2026-05-04,D01,宫保鸡丁,午餐,周一,否,155.0,134.45770211433083,20.54229788566917
2026-05-04,D01,宫保鸡丁,晚餐,周一,是,146.0,121.75983181092819,24.24016818907181
2026-05-04,D02,红烧肉,午餐,周一,否,105.0,119.60866147714188,-14.60866147714188
2026-05-04,D02,红烧肉,晚餐,周一,否,94.0,91.68578977066448,2.314210229335515
2026-05-04,D03,鱼香肉丝,午餐,周一,否,144.0,133.56193337733464,10.43806662266536
2026-05-04,D03,鱼香肉丝,晚餐,周一,是,128.0,119.85300300329985,8.146996996700153
2026-05-04,D04,麻婆豆腐,午餐,周一,否,136.0,127.64788211698287,8.35211788301713
2026-05-04,D04,麻婆豆腐,晚餐,周一,是,124.0,123.04460086796723,0.9553991320327668
2026-05-04,D05,番茄炒蛋,午餐,周一,是,163.0,137.33822753291972,25.661772467080283
2026-05-04,D05,番茄炒蛋,晚餐,周一,否,154.0,127.64788211698287,26.35211788301713
2026-05-04,D06,青椒土豆丝,午餐,周一,否,126.0,123.06425569465442,2.9357443053455796
2026-05-04,D06,青椒土豆丝,晚餐,周一,否,119.0,114.00838507422657,4.991614925773433
2026-05-04,D07,香菇青菜,午餐,周一,否,94.0,92.08070185122212,1.9192981487778837
2026-05-04,D07,香菇青菜,晚餐,周一,是,94.0,91.31039854099684,2.689601459003157
2026-05-04,D08,水煮鸡片,午餐,周一,否,128.0,125.27822538340138,2.7217746165986227
2026-05-04,D08,水煮鸡片,晚餐,周一,是,111.0,99.76931279446266,11.230687205537336
2026-05-04,D09,糖醋里脊,午餐,周一,否,107.0,102.19620953463279,4.803790465367214
2026-05-04,D09,糖醋里脊,晚餐,周一,否,104.0,91.68578977066448,12.314210229335515
2026-05-04,D10,西红柿牛腩,午餐,周一,是,107.0,92.94189336854508,14.058106631454919
2026-05-04,D10,西红柿牛腩,晚餐,周一,否,90.0,89.17170303732098,0.8282969626790191
2026-05-05,D01,宫保鸡丁,午餐,周二,否,141.0,135.39521715643514,5.604782843564863
2026-05-05,D01,宫保鸡丁,晚餐,周二,否,128.0,124.28807181463107,3.711928185368933
2026-05-05,D02,红烧肉,午餐,周二,否,114.0,113.85402721342625,0.14597278657375057
2026-05-05,D02,红烧肉,晚餐,周二,是,92.0,91.76872424342353,0.2312757565764656
2026-05-05,D03,鱼香肉丝,午餐,周二,是,152.0,129.75836232439332,22.241637675606682
2026-05-05,D03,鱼香肉丝,晚餐,周二,否,120.0,119.1183531681175,0.8816468318825059
2026-05-05,D04,麻婆豆腐,午餐,周二,否,137.0,127.88417561049543,9.115824389504567
2026-05-05,D04,麻婆豆腐,晚餐,周二,否,116.0,119.42961820663315,-3.429618206633151
2026-05-05,D05,番茄炒蛋,午餐,周二,否,160.0,136.5194772277721,23.480522772227914
2026-05-05,D05,番茄炒蛋,晚餐,周二,是,144.0,127.0992052954597,16.900794704540303
2026-05-05,D06,青椒土豆丝,午餐,周二,否,126.0,122.41261374915167,3.5873862508483256
2026-05-05,D06,青椒土豆丝,晚餐,周二,是,113.0,102.95739250799964,10.042607492000357
2026-05-05,D07,香菇青菜,午餐,周二,否,103.0,94.8526230915308,8.147376908469198
2026-05-05,D07,香菇青菜,晚餐,周二,否,82.0,89.76028049933701,-7.760280499337014
2026-05-05,D08,水煮鸡片,午餐,周二,否,132.0,122.07480827848431,9.925191721515688
2026-05-05,D08,水煮鸡片,晚餐,周二,是,103.0,95.30516875811607,7.694831241883932
2026-05-05,D09,糖醋里脊,午餐,周二,否,108.0,100.33621250132427,7.663787498675731
2026-05-05,D09,糖醋里脊,晚餐,周二,否,98.0,92.13517218489685,5.864827815103155
2026-05-05,D10,西红柿牛腩,午餐,周二,是,98.0,95.0909663340908,2.909033665909206
2026-05-05,D10,西红柿牛腩,晚餐,周二,是,85.0,91.08313935285521,-6.083139352855213
2026-05-06,D01,宫保鸡丁,午餐,周三,否,161.0,136.24474346657072,24.755256533429275
2026-05-06,D01,宫保鸡丁,晚餐,周三,否,143.0,127.1117716991745,15.888228300825503
2026-05-06,D02,红烧肉,午餐,周三,否,116.0,121.25365034659852,-5.253650346598519
2026-05-06,D02,红烧肉,晚餐,周三,否,103.0,89.89281093023413,13.107189069765866
2026-05-06,D03,鱼香肉丝,午餐,周三,否,145.0,133.84783594725775,11.15216405274225
2026-05-06,D03,鱼香肉丝,晚餐,周三,是,134.0,117.75620925723808,16.243790742761917
2026-05-06,D04,麻婆豆腐,午餐,周三,否,139.0,129.3602094172379,9.639790582762089
2026-05-06,D04,麻婆豆腐,晚餐,周三,是,123.0,119.08012368330374,3.9198763166962607
2026-05-06,D05,番茄炒蛋,午餐,周三,否,167.0,138.80079337863089,28.199206621369115
2026-05-06,D05,番茄炒蛋,晚餐,周三,是,152.0,131.80010230982145,20.199897690178545
2026-05-06,D06,青椒土豆丝,午餐,周三,否,134.0,126.11060601382337,7.8893939861766285
2026-05-06,D06,青椒土豆丝,晚餐,周三,是,125.0,107.65130814025893,17.348691859741066
2026-05-06,D07,香菇青菜,午餐,周三,否,98.0,104.383879053449,-6.383879053448993
2026-05-06,D07,香菇青菜,晚餐,周三,是,85.0,87.73294452122414,-2.732944521224141
2026-05-06,D08,水煮鸡片,午餐,周三,否,132.0,125.1455657721377,6.854434227862299
2026-05-06,D08,水煮鸡片,晚餐,周三,否,110.0,97.99256426440482,12.00743573559518
2026-05-06,D09,糖醋里脊,午餐,周三,否,117.0,107.60403117159842,9.395968828401578
2026-05-06,D09,糖醋里脊,晚餐,周三,否,99.0,90.4398035675256,8.560196432474399
2026-05-06,D10,西红柿牛腩,午餐,周三,是,106.0,93.8990936453005,12.100906354699504
2026-05-06,D10,西红柿牛腩,晚餐,周三,否,89.0,87.53697814775832,1.4630218522416811
2026-05-07,D01,宫保鸡丁,午餐,周四,否,155.0,110.87293195427695,44.12706804572305
2026-05-07,D01,宫保鸡丁,晚餐,周四,是,135.0,95.46961467663995,39.53038532336005
2026-05-07,D02,红烧肉,午餐,周四,否,113.0,92.60624063885946,20.39375936114054
2026-05-07,D02,红烧肉,晚餐,周四,是,93.0,90.32124619395924,2.67875380604076
2026-05-07,D03,鱼香肉丝,午餐,周四,否,143.0,97.90913445722575,45.09086554277425
2026-05-07,D03,鱼香肉丝,晚餐,周四,是,115.0,94.21951328232419,20.780486717675814
2026-05-07,D04,麻婆豆腐,午餐,周四,是,136.0,97.18711086917213,38.81288913082787
2026-05-07,D04,麻婆豆腐,晚餐,周四,否,106.0,93.57451667012873,12.42548332987127
2026-05-07,D05,番茄炒蛋,午餐,周四,是,166.0,103.3684512165952,62.631548783404796
2026-05-07,D05,番茄炒蛋,晚餐,周四,否,129.0,100.92139230759754,28.078607692402457
2026-05-07,D06,青椒土豆丝,午餐,周四,是,126.0,96.59732963221656,29.402670367783443
2026-05-07,D06,青椒土豆丝,晚餐,周四,是,106.0,93.57451667012873,12.42548332987127
2026-05-07,D07,香菇青菜,午餐,周四,是,110.0,89.91597749603449,20.084022503965514
2026-05-07,D07,香菇青菜,晚餐,周四,是,79.0,86.28561914788924,-7.285619147889236
2026-05-07,D08,水煮鸡片,午餐,周四,否,129.0,95.46961467663995,33.53038532336005
2026-05-07,D08,水煮鸡片,晚餐,周四,否,101.0,91.39529238359256,9.604707616407438
2026-05-07,D09,糖醋里脊,午餐,周四,是,114.0,92.18938981266655,21.810610187333452
2026-05-07,D09,糖醋里脊,晚餐,周四,是,85.0,90.15432073859448,-5.154320738594478
2026-05-07,D10,西红柿牛腩,午餐,周四,否,105.0,90.94452634046085,14.055473659539146
2026-05-07,D10,西红柿牛腩,晚餐,周四,否,85.0,86.76115791513774,-1.7611579151377441
2026-05-08,D01,宫保鸡丁,午餐,周五,否,126.0,100.98666508218339,25.013334917816607
2026-05-08,D01,宫保鸡丁,晚餐,周五,否,98.0,95.5348874512258,2.4651125487742007
2026-05-08,D02,红烧肉,午餐,周五,否,89.0,93.22007255591097,-4.220072555910974
2026-05-08,D02,红烧肉,晚餐,周五,否,68.0,89.90716735198984,-21.90716735198984
2026-05-08,D03,鱼香肉丝,午餐,周五,是,122.0,98.21841388320547,23.78158611679453
2026-05-08,D03,鱼香肉丝,晚餐,周五,否,90.0,93.63978944471458,-3.63978944471458
2026-05-08,D04,麻婆豆腐,午餐,周五,是,114.0,95.5348874512258,18.4651125487742
